categoria,modelo1,modelo2,p_Holm
n_tokens,Gemma,Claude,<.001
n_tokens,GPT,Claude,<.001
n_tokens,Humano,Claude,<.001
n_tokens,Llama,Claude,<.001
n_tokens,GPT,Gemma,<.001
n_tokens,Humano,Gemma,<.05
n_tokens,Llama,Gemma,<.001
n_tokens,Humano,GPT,<.001
n_tokens,Llama,GPT,<.001
n_tokens,Llama,Humano,<.001
longitud_media_oracion,Gemma,Claude,<.001
longitud_media_oracion,GPT,Claude,<.001
longitud_media_oracion,Humano,Claude,<.05
longitud_media_oracion,Llama,Claude,<.05
longitud_media_oracion,GPT,Gemma,<.001
longitud_media_oracion,Humano,Gemma,0.7352
longitud_media_oracion,Llama,Gemma,<.05
longitud_media_oracion,Humano,GPT,<.001
longitud_media_oracion,Llama,GPT,<.001
longitud_media_oracion,Llama,Humano,0.1352
ttr_formas,Gemma,Claude,<.001
ttr_formas,GPT,Claude,<.001
ttr_formas,Humano,Claude,<.001
ttr_formas,Llama,Claude,<.001
ttr_formas,GPT,Gemma,<.05
ttr_formas,Humano,Gemma,<.001
ttr_formas,Llama,Gemma,<.001
ttr_formas,Humano,GPT,<.001
ttr_formas,Llama,GPT,<.05
ttr_formas,Llama,Humano,<.001
ttr_lemas,Gemma,Claude,<.001
ttr_lemas,GPT,Claude,<.001
ttr_lemas,Humano,Claude,<.001
ttr_lemas,Llama,Claude,<.05
ttr_lemas,GPT,Gemma,0.9391
ttr_lemas,Humano,Gemma,<.001
ttr_lemas,Llama,Gemma,<.001
ttr_lemas,Humano,GPT,<.001
ttr_lemas,Llama,GPT,<.001
ttr_lemas,Llama,Humano,<.001
profundidad_max_dependencias,Gemma,Claude,<.001
profundidad_max_dependencias,GPT,Claude,<.001
profundidad_max_dependencias,Humano,Claude,<.001
profundidad_max_dependencias,Llama,Claude,<.001
profundidad_max_dependencias,GPT,Gemma,<.001
profundidad_max_dependencias,Humano,Gemma,0.4597
profundidad_max_dependencias,Llama,Gemma,<.001
profundidad_max_dependencias,Humano,GPT,<.05
profundidad_max_dependencias,Llama,GPT,<.001
profundidad_max_dependencias,Llama,Humano,<.001
inflesz,Gemma,Claude,0.4463
inflesz,GPT,Claude,<.001
inflesz,Humano,Claude,<.001
inflesz,Llama,Claude,<.001
inflesz,GPT,Gemma,<.001
inflesz,Humano,Gemma,<.001
inflesz,Llama,Gemma,<.001
inflesz,Humano,GPT,<.001
inflesz,Llama,GPT,<.001
inflesz,Llama,Humano,<.001
prop_hapax,Gemma,Claude,<.001
prop_hapax,GPT,Claude,<.001
prop_hapax,Humano,Claude,<.001
prop_hapax,Llama,Claude,0.9786
prop_hapax,GPT,Gemma,0.1886
prop_hapax,Humano,Gemma,<.001
prop_hapax,Llama,Gemma,<.001
prop_hapax,Humano,GPT,<.001
prop_hapax,Llama,GPT,<.001
prop_hapax,Llama,Humano,<.001
prop_sust,Gemma,Claude,<.001
prop_sust,GPT,Claude,<.05
prop_sust,Humano,Claude,<.001
prop_sust,Llama,Claude,0.9578
prop_sust,GPT,Gemma,<.001
prop_sust,Humano,Gemma,<.001
prop_sust,Llama,Gemma,<.001
prop_sust,Humano,GPT,<.001
prop_sust,Llama,GPT,<.05
prop_sust,Llama,Humano,<.001
prop_adj,Gemma,Claude,<.001
prop_adj,GPT,Claude,<.001
prop_adj,Humano,Claude,<.001
prop_adj,Llama,Claude,<.001
prop_adj,GPT,Gemma,<.001
prop_adj,Humano,Gemma,<.001
prop_adj,Llama,Gemma,<.001
prop_adj,Humano,GPT,<.001
prop_adj,Llama,GPT,<.001
prop_adj,Llama,Humano,<.001
prop_adv,Gemma,Claude,<.001
prop_adv,GPT,Claude,0.4069
prop_adv,Humano,Claude,<.001
prop_adv,Llama,Claude,<.001
prop_adv,GPT,Gemma,<.001
prop_adv,Humano,Gemma,<.05
prop_adv,Llama,Gemma,<.001
prop_adv,Humano,GPT,<.001
prop_adv,Llama,GPT,<.001
prop_adv,Llama,Humano,<.001
prop_vbos,Gemma,Claude,<.001
prop_vbos,GPT,Claude,<.001
prop_vbos,Humano,Claude,<.001
prop_vbos,Llama,Claude,0.089
prop_vbos,GPT,Gemma,<.001
prop_vbos,Humano,Gemma,<.001
prop_vbos,Llama,Gemma,<.001
prop_vbos,Humano,GPT,<.001
prop_vbos,Llama,GPT,<.001
prop_vbos,Llama,Humano,<.001
densidad_lexica,Gemma,Claude,<.05
densidad_lexica,GPT,Claude,<.001
densidad_lexica,Humano,Claude,<.001
densidad_lexica,Llama,Claude,<.001
densidad_lexica,GPT,Gemma,0.3428
densidad_lexica,Humano,Gemma,<.001
densidad_lexica,Llama,Gemma,<.001
densidad_lexica,Humano,GPT,<.001
densidad_lexica,Llama,GPT,<.001
densidad_lexica,Llama,Humano,<.001
BERTscore_F1,Gemma,Claude,<.001
BERTscore_F1,GPT,Claude,0.0823
BERTscore_F1,Llama,Claude,<.001
BERTscore_F1,GPT,Gemma,<.001
BERTscore_F1,Llama,Gemma,<.001
BERTscore_F1,Llama,GPT,<.001
